id,name,year,coffee_variety,ranking,price,kg
1,Luz Albani Suárez,2024,Typica,89.76,139.03,40.78
2,Camilo Sierra,2024,Cenicafe 1,89.69,133.54,69.25
3,Nancy Mosquera,2022,Tabi,85.97,81.77,59.99
4,Luz Albani Suárez,2022,Catiope,89.25,114.66,42.16
5,María Fernanda Ortiz,2024,Tabi,89.09,60.5,58.49
6,José Martínez,2024,Tabi,89.42,9.12,69.28
7,Luis Alberto Gómez,2023,Pacamara,89.83,106.0,59.32
8,José Martínez,2024,Castillo,84.38,47.46,62.76
9,Darlin Ávila,2023,Tabi,85.76,110.56,68.59
10,Camilo Sierra,2023,Castillo,85.64,37.47,47.73
11,Paola Rincón,2022,Tabi,90.88,95.68,35.69
12,Nancy Mosquera,2023,Geisha,87.47,17.65,63.27
13,Domingo Torres,2022,Colombia Supremo,88.9,69.15,65.72
14,Axel Tveten,2022,Caturra,84.1,142.13,46.76
15,José Martínez,2023,Bourbon Rosado,88.36,49.52,59.69
16,Luis Alberto Gómez,2022,Catiope,86.27,50.62,59.17
17,Luis Alberto Gómez,2022,Typica,84.75,64.83,62.98
18,Laura Yepes,2022,Caturra,85.18,44.61,64.73
19,Wilton Benítez,2022,Cenicafe 1,84.8,119.44,30.18
20,Darlin Ávila,2024,Colombia Supremo,88.55,116.57,40.41
21,Luz Albani Suárez,2024,Colombia Supremo,89.94,149.68,48.02
22,Wilton Benítez,2022,Pacamara,89.49,87.66,43.88
23,José Martínez,2023,Tabi,84.12,96.87,69.82
24,Domingo Torres,2022,Colombia Supremo,85.21,12.85,36.99
25,Darlin Ávila,2022,Castillo,86.86,139.65,69.78
26,Martha Cecilia Camacho,2024,Cenicafe 1,87.02,101.94,49.21
27,Luis Alberto Gómez,2023,Geisha,87.03,77.04,61.73
28,Carlos Rojas,2024,Typica,89.43,25.97,46.22
29,Diego Tróchez,2022,Catiope,84.7,112.76,61.99
30,Domingo Torres,2024,Colombia Supremo,86.74,40.44,51.64
31,Martha Cecilia Camacho,2023,Cenicafe 1,90.24,59.22,57.57
32,Diego Tróchez,2023,Pacamara,85.0,106.81,36.33
33,Martha Cecilia Camacho,2023,Pacamara,87.47,42.56,67.24
34,Laura Yepes,2022,Castillo,86.47,32.43,61.72
35,Martha Cecilia Camacho,2024,Caturra,86.45,45.27,42.42
36,Martha Cecilia Camacho,2023,Geisha,84.15,39.22,39.66
37,Camilo Sierra,2024,Castillo,85.61,16.26,41.58
38,Axel Tveten,2022,Geisha,84.6,136.53,63.41
39,Axel Tveten,2024,Geisha,85.44,51.42,53.71
40,María Fernanda Ortiz,2024,Caturra,90.89,16.41,48.32
41,Luz Albani Suárez,2024,Catiope,85.79,110.1,61.34
42,Axel Tveten,2023,Typica,86.19,89.68,65.56
43,María Fernanda Ortiz,2024,Cenicafe 1,84.22,58.71,53.87
44,Nancy Mosquera,2024,Caturra,85.68,14.07,38.88
45,María Fernanda Ortiz,2023,Geisha,90.49,103.88,67.25
46,Axel Tveten,2024,Cenicafe 1,85.53,142.6,40.75
